,exp:sugar,exp:sugar+geosmin
handle,0.62,0.3333333333
handup,0.6041666666666666,0.3125
haystack,0.7075,0.416666666666666
homer,0.6041666666666667,0.29166666666666663
horn,0.675,0.39666666666666
horntail,0.6666666666666666,0.37499999999999967
horseshoe,0.6319444444444444,0.3541666666666667
horseshoe2,0.6354166666666667,0.3645833333333333
hound,0.6666666666666667,0.375
hyacinth,0.66,0.366666666666
"hydrangea, kelp",0.6612500000000001,0.33354166666666507
indigo,0.6458333333333333,0.3229166666666667
justice,0.6805555555555557,0.40972222222222215
kitty,0.6666666666666666,0.40624999999999983
knees,0.6816666666666,0.416875
kokopelli,0.6875,0.33333333333333337
kubo,0.625,0.3333333333333333
landslide,0.625,0.35416666666666663
linea,0.625,0.22916666666666669
lion,0.68333333333333,0.375
loch ness,0.6597222222222222,0.3958333333333333
mandala,0.6270833333333334,0.33749999999999836
marge,0.6458333333333333,0.39583333333333337
mesa,0.6552777777777666,0.3750347222222223
meteor,0.6573275862068966,0.30822222222222223
mime,0.625,0.2916666666666667
mist,0.6354166666666666,0.3645833333333333
moor,0.6402777777777778,0.3705555555555444
mothership,0.6666666666666667,0.4375
mute,0.6145833333333334,0.34375
nagini,0.6666666666666667,0.375
nori,0.6041666666666667,0.27083333333333337
"nori, wafflecone",0.6666666666666667,0.22916666666666666
oink,0.625,0.3125
oinkT,0.6666666666666667,0.2916666666666667
oinkU,0.6458333333333334,0.3125
oval,0.72,0.32
pampa,0.6458333333333333,0.33333333333333337
peacock,0.6770833333333333,0.39583333333333337
peafowl,0.654166666666665,0.3645833333333333
peahen,0.6875,0.416666666666666
"peep, trumpet",0.625,0.35416666666666663
phantom,0.6250000000000001,0.34027777777777785
planter,0.6458333333333334,0.39583333333333337
portal,0.625,0.3333333333333333
pringle,0.6319444444444444,0.3194444444444445
puddle,0.6354166666666667,0.35416666666666663
rattle,0.65625,0.34375
rocket,0.7083333333333334,0.38888888888888884
rose,0.6666666666666666,0.3958333333333333
roundup,0.25862068965517226,0.1243703703703702
ruby,0.6875,0.3229166666666667
seagull,0.6875,0.41666666666666663
shark,0.5833333333333334,0.3125
sink and sync,0.6573275862068966,0.3190370370370369
slink,0.6458333333333334,0.3333333333333333
snake,0.6597222222222222,0.3819444444444445
spirit,0.6458333333333333,0.35416666666666663
spray,0.66875,0.38333333333333497
stand,0.625,0.27083333333333337
sullivan,0.625,0.34375
sundrop,0.6510416666666666,0.34895833333333337
tentacular,0.625,0.25
tinctoria,0.68333333333333,0.375
tophat,0.5625,0.29166666666666663
trident,0.6388888888888888,0.3055555555555555
trogon,0.6458333333333333,0.34375
tulip,0.6386111111111111,0.3291666666555544
tundra,0.6458333333333334,0.35694444444444334
turner,0.6458333333333333,0.33333333333333337
twirl,0.6041666666666667,0.2916666666666667
usnea,0.5833333333333333,0.2916666666666667
vice,0.625,0.3333333333333333
vixen,0.6666666666666667,0.2916666666666667
wafflecone,0.6458333333333334,0.35999999999998894
weaver,0.7075,0.416666666666666
web,0.6941666666666667,0.39777777777776535
whisker,0.65041666666675,0.34270833333333417
willow,0.71875,0.416666666666666
control,0.625,0.292
